127.0.0.1 - - [27/Aug/2025:09:35:54 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [27/Aug/2025:09:35:55 +0900] "GET /webpro/0827/date_getTime2.html HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [27/Aug/2025:09:35:55 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [27/Aug/2025:09:35:58 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
192.168.143.29 - - [27/Aug/2025:17:02:40 +0900] "OPTIONS /%C3%AA%C2%B3%C2%B5%C3%AC%C2%9C%C2%A0%C3%AD%C2%8F%C2%B4%C3%AB%C2%8D%C2%94 HTTP/1.1" 200 -
192.168.143.29 - - [27/Aug/2025:17:02:40 +0900] "PROPFIND /%C3%AA%C2%B3%C2%B5%C3%AC%C2%9C%C2%A0%C3%AD%C2%8F%C2%B4%C3%AB%C2%8D%C2%94 HTTP/1.1" 501 789
192.168.143.29 - - [27/Aug/2025:17:02:41 +0900] "PROPFIND /%C3%AA%C2%B3%C2%B5%C3%AC%C2%9C%C2%A0%C3%AD%C2%8F%C2%B4%C3%AB%C2%8D%C2%94 HTTP/1.1" 501 789
192.168.143.29 - - [27/Aug/2025:17:02:41 +0900] "PROPFIND /%C3%AA%C2%B3%C2%B5%C3%AC%C2%9C%C2%A0%C3%AD%C2%8F%C2%B4%C3%AB%C2%8D%C2%94 HTTP/1.1" 501 789
192.168.143.17 - - [27/Aug/2025:17:02:44 +0900] "OPTIONS /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 200 -
192.168.143.17 - - [27/Aug/2025:17:02:44 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.17 - - [27/Aug/2025:17:02:44 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.17 - - [27/Aug/2025:17:02:44 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/desktop.ini HTTP/1.1" 501 789
192.168.143.17 - - [27/Aug/2025:17:02:44 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.17 - - [27/Aug/2025:17:02:44 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.17 - - [27/Aug/2025:17:02:44 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.17 - - [27/Aug/2025:17:02:44 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.17 - - [27/Aug/2025:17:02:44 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.23 - - [27/Aug/2025:17:02:47 +0900] "OPTIONS / HTTP/1.1" 200 -
192.168.143.29 - - [27/Aug/2025:17:04:31 +0900] "OPTIONS /%C3%AA%C2%B3%C2%B5%C3%AC%C2%9C%C2%A0%C3%AD%C2%8F%C2%B4%C3%AB%C2%8D%C2%94 HTTP/1.1" 200 -
192.168.143.29 - - [27/Aug/2025:17:04:31 +0900] "PROPFIND /%C3%AA%C2%B3%C2%B5%C3%AC%C2%9C%C2%A0%C3%AD%C2%8F%C2%B4%C3%AB%C2%8D%C2%94 HTTP/1.1" 501 789
192.168.143.29 - - [27/Aug/2025:17:04:31 +0900] "PROPFIND /%C3%AA%C2%B3%C2%B5%C3%AC%C2%9C%C2%A0%C3%AD%C2%8F%C2%B4%C3%AB%C2%8D%C2%94 HTTP/1.1" 501 789
192.168.143.29 - - [27/Aug/2025:17:04:31 +0900] "PROPFIND /%C3%AA%C2%B3%C2%B5%C3%AC%C2%9C%C2%A0%C3%AD%C2%8F%C2%B4%C3%AB%C2%8D%C2%94 HTTP/1.1" 501 789
